Dato,Tid,NO2,NOx,CO,O3,PM10,PM25,SO2
22-07, 20,    85.21,   180.06,     0.86,    20.87,    39.50,    14.25,     3.17,
22-07, 19,    64.58,   119.64,     0.52,    39.55,    37.50,    15.05,     2.47,
22-07, 18,    62.25,    99.28,     0.42,    59.28,    33.85,    12.85,     2.00,
22-07, 17,    62.56,   110.01,     0.37,    58.88,    32.70,    12.35,     1.93,
22-07, 16,    63.60,   116.42,     0.36,    59.49,    29.35,    10.65,     2.10,
22-07, 15,    65.13,   133.41,     0.41,    55.75,    41.00,    12.35,     2.77,
22-07, 14,    66.65,   129.16,     0.38,    55.97,    31.90,    10.85,     2.29,
22-07, 13,    75.07,   141.38,     0.33,    51.43,    33.50,     9.75,     2.78,
22-07, 12,    71.57,   141.76,     0.36,    52.30,    37.55,    11.20,     2.60,
22-07, 11,    60.35,   111.26,     0.23,    52.47,    38.65,    10.15,     2.03,
22-07, 10,    62.43,   149.84,     0.28,    40.92,    51.30,    11.65,     3.17,
22-07,  9,    64.08,   151.05,     0.33,    36.36,    34.55,    10.80,     3.15,
22-07,  8,    67.90,   192.61,     0.37,    25.18,    45.80,    10.70,     3.81,
22-07,  7,    99.58,   271.48,     0.43,    12.00,    58.20,    13.20,     4.93,
22-07,  6,   104.02,   292.34,     0.44,     9.52,    64.60,    15.65,     4.96,
22-07,  5,    83.89,   257.08,     0.38,     8.44,    59.70,    15.55,     5.15,
22-07,  4,    53.09,   126.84,     0.24,    15.60,    24.35,     8.45,     2.24,
22-07,  3,    43.21,    71.02,     0.18,    18.12,    22.20,     8.95,     1.11,
22-07,  2,    37.92,    63.16,     0.19,    28.14,    19.65,     8.20,     1.33,
22-07,  1,    48.39,    76.57,     0.23,    21.48,    15.45,     9.45,     2.67,
22-07,  0,    51.88,    85.30,     0.25,    20.00,    21.10,     9.15,     1.09,
21-07, 23,    57.66,   101.12,     0.26,    19.48,    23.65,     9.90,     1.53,
21-07, 22,    66.94,   141.25,     0.55,    17.78,    28.75,    10.00,     2.66,
21-07, 21,    47.65,    83.89,     0.41,    36.13,    21.45,     9.60,     1.43,
21-07, 20,    43.47,    67.51,     0.31,    46.47,    27.85,    10.90,     0.97,
21-07, 19,    40.66,    72.34,     0.35,    48.82,    26.70,    10.55,     1.28,
21-07, 18,    44.02,    76.66,     0.35,    51.72,    23.15,     9.80,     1.51,
21-07, 17,    40.22,    72.46,     0.26,    55.38,    24.50,    10.45,     1.43,
21-07, 16,    31.88,    61.74,     0.26,    57.89,    21.70,     9.45,     1.21,
21-07, 15,    31.77,    62.61,     0.27,    58.07,    25.95,     9.95,     1.25,
21-07, 14,    42.01,    85.65,     0.31,    55.97,    31.10,    11.45,     1.63,
21-07, 13,    59.70,   140.59,     0.38,    44.41,    45.40,    20.15,     2.46,
21-07, 12,    55.71,   138.09,     0.38,    40.82,    44.45,    12.10,     2.94,
21-07, 11,    44.69,    99.86,     0.29,    40.32,    28.35,    11.80,     2.03,
21-07, 10,    39.26,    88.34,     0.24,    45.18,    30.95,     7.75,     1.56,
21-07,  9,    33.24,   151.70,     0.25,    34.93,    43.70,    10.70,     2.91,
21-07,  8,    62.01,   173.88,     0.40,    20.98,    47.30,    11.30,     2.87,
21-07,  7,    64.70,   184.62,     0.34,    17.74,    36.50,     8.90,     2.94,
21-07,  6,    80.33,   209.86,     0.44,    15.14,    32.15,     8.65,     3.10,
21-07,  5,    50.03,   130.95,     0.33,    15.32,    28.85,     9.35,     2.07,
21-07,  4,    32.95,    59.60,     0.20,    22.47,    20.90,     8.35,     0.70,
21-07,  3,    30.45,    48.18,     0.17,    21.82,    12.30,     7.05,     0.55,
21-07,  2,    29.69,    40.37,     0.17,    23.12,    14.45,     7.75,     0.30,
21-07,  1,    32.56,    45.51,     0.18,    23.01,    11.20,     7.30,     0.31,
21-07,  0,    40.34,    62.41,     0.26,    25.40,    17.50,     8.45,     0.70,
