Dato,Tid,NO2,NOx,CO,O3,PM10,PM25,SO2
02-07,  2,    17.78,    26.77,     0.16,    40.58,    10.95,     6.55,     0.13,
02-07,  1,    21.08,    38.47,     0.19,    40.27,    12.60,     7.15,     0.45,
02-07,  0,    20.95,    36.06,     0.18,    40.33,    10.95,     6.20,     0.33,
01-07, 23,    39.38,    77.46,     0.25,    25.30,    12.95,     7.90,     0.97,
01-07, 22,    33.61,    65.72,     0.40,    30.58,    10.90,     6.95,     0.70,
01-07, 21,    27.97,    47.60,     0.23,    36.06,    11.30,     7.90,     0.40,
01-07, 20,    43.07,    79.61,     0.28,    24.40,    12.70,     9.80,     0.80,
01-07, 19,    47.11,    92.96,     0.31,    22.67,    19.70,    12.90,     0.84,
01-07, 18,    48.02,   117.29,     0.41,    21.14,    27.95,    16.05,     1.43,
01-07, 17,    31.20,    68.80,     0.30,    38.72,    29.25,    13.20,     0.85,
01-07, 16,    35.99,    78.27,     0.32,    37.32,    21.60,    11.50,     0.99,
01-07, 15,    39.41,    84.50,     0.30,    36.49,    28.30,    10.95,     1.05,
01-07, 14,    38.15,    83.42,     0.27,    34.60,    30.95,    11.70,     1.18,
01-07, 13,    36.42,    71.88,     0.25,    32.60,    33.65,    13.00,     0.77,
01-07, 12,    51.35,   108.33,     0.27,    30.45,    34.25,    13.10,     1.60,
01-07, 11,    52.22,   115.35,     0.25,    31.88,    34.85,    14.75,     1.65,
01-07, 10,    45.85,   107.71,     0.22,    40.23,    33.75,     9.35,     1.70,
01-07,  9,    33.67,    77.13,     0.22,    38.46,    28.85,     9.45,     1.15,
01-07,  8,    35.99,    95.96,     0.26,    21.55,    35.85,    11.70,     1.41,
01-07,  7,    34.19,    86.16,     0.25,    21.89,    24.15,    12.15,     1.29,
01-07,  6,    37.99,    91.84,     0.30,    20.07,    22.70,     9.15,     1.32,
01-07,  5,    29.54,    66.56,     0.25,    24.16,    24.20,    10.90,     0.87,
01-07,  4,    25.23,    51.23,     0.25,    28.32,    18.80,    18.30,     0.71,
01-07,  3,    15.40,    22.69,     0.20,    38.96,    14.05,     9.50,     0.28,
01-07,  2,    16.88,    23.42,     0.19,    43.40,    12.40,     8.10,     0.34,
01-07,  1,    15.64,    21.45,     0.21,    47.94,    15.50,    12.15,     1.25,
01-07,  0,    27.98,    51.57,     0.27,    41.81,    18.60,     9.70,     0.58,
30-06, 23,    41.95,    67.46,     0.29,    34.89,    18.70,     8.65,     0.44,
30-06, 22,    50.93,    85.22,     0.29,    24.34,    21.00,     9.70,     0.77,
30-06, 21,    47.07,    71.02,     0.25,    33.31,    18.25,    10.55,     0.58,
30-06, 20,    39.46,    63.02,     0.32,    41.97,    17.85,    10.10,     0.50,
30-06, 19,    36.82,    62.04,     0.32,    43.18,    22.60,    12.00,     0.71,
30-06, 18,    37.80,    70.73,     0.26,    48.25,    23.85,    12.45,     0.94,
30-06, 17,    38.47,    66.40,     0.30,    51.49,    23.00,    10.50,     0.74,
30-06, 16,    40.66,    82.77,     0.31,    43.54,    24.50,    11.75,     1.09,
30-06, 15,    54.77,   119.43,     0.41,    35.80,    22.60,    14.50,     1.60,
30-06, 14,    72.06,   162.82,     0.44,    31.58,    28.45,    17.20,     2.26,
30-06, 13,    64.40,   126.82,     0.32,    44.40,    24.50,    12.95,     1.75,
30-06, 12,    49.66,   101.48,     0.26,    49.80,    25.00,    14.55,     1.36,
30-06, 11,    53.17,   110.95,     0.28,    50.95,    31.40,    10.10,     1.76,
30-06, 10,    47.08,   116.30,     0.26,    43.70,    49.90,    11.15,     1.90,
30-06,  9,    57.79,   120.32,     0.22,    39.18,    44.00,    11.95,     1.85,
30-06,  8,,,,,    21.00,    11.80,
30-06,  7,,,,,    19.75,    10.75,
30-06,  6,,,,,    17.35,     9.85,
30-06,  5,,,,,    21.65,     8.00,
30-06,  4,,,,,    21.15,     6.90,
30-06,  3,,,,,    14.85,     4.35,
30-06,  2,,,,,     9.55,     3.25,
30-06,  1,,,,,    12.15,     7.05,
30-06,  0,,,,,    14.35,     7.05,
29-06, 23,,,,,    21.15,     8.60,
29-06, 22,,,,,    20.35,     9.55,
29-06, 21,,,,,    25.20,    12.80,
29-06, 20,,,,,    30.20,
29-06,  2,    24.87,    40.86,     0.15,    45.25,,,     0.57,
29-06,  1,    44.78,    76.06,     0.17,    40.94,,,     0.88,
29-06,  0,    59.07,   106.23,     0.23,    13.55,,,     1.48,
28-06, 23,    70.73,   134.68,     0.30,    14.52,,,     1.51,
28-06, 22,    83.64,   172.85,     0.46,     9.26,,,     2.50,
28-06, 21,    58.44,   131.50,     0.34,    32.41,,,     2.00,
28-06, 20,    53.00,   108.72,     0.33,    33.02,,,     1.70,
28-06, 19,    24.00,    40.94,     0.24,    54.69,,,     0.50,
28-06, 18,    35.20,    72.19,     0.22,    50.88,,,     0.94,
28-06, 17,    44.19,    79.87,     0.25,    44.77,,,     0.99,
28-06, 16,    52.29,   110.00,     0.32,    45.74,,,     1.87,
28-06, 15,    54.20,   128.75,     0.34,    41.13,,,     2.20,
28-06, 14,    50.48,   113.82,     0.30,    44.90,,,     2.17,
28-06, 13,    57.26,   141.44,     0.32,    36.76,,,     2.19,
28-06, 12,    70.73,   168.27,     0.28,    30.20,,,     3.24,
28-06, 11,    47.05,   121.18,     0.31,    40.88,,,     2.23,
28-06, 10,    51.92,   124.90,     0.24,    40.78,,,     1.97,
28-06,  9,    55.85,   149.57,     0.23,    35.10,    26.50,    10.05,     2.90,
28-06,  8,    43.94,   115.53,     0.22,    38.14,    31.55,    10.70,     2.20,
28-06,  7,    47.34,   114.36,     0.27,    34.61,    32.10,    11.65,     2.10,
28-06,  6,    46.27,   136.06,     0.27,    32.00,    35.70,    12.10,     2.33,
28-06,  5,    47.98,   111.88,     0.27,    27.37,    33.80,    11.85,     2.07,
28-06,  4,    25.15,    54.75,     0.17,    33.65,    14.30,     4.60,     0.92,
28-06,  3,    13.94,    30.88,     0.15,    42.88,     9.80,     4.40,     0.44,
28-06,  2,     8.48,    14.48,     0.14,    50.73,    10.85,     4.85,     0.16,
28-06,  1,     7.85,    11.47,     0.13,    54.20,     6.55,     5.75,     0.21,
28-06,  0,    11.56,    19.94,     0.14,    45.64,    10.60,     5.20,     0.35,
